place,delegates,lat,lon
Australia,2,-25.5852413,134.5041199
Austria,1,47.5884399,14.1402111
Britain,8,54.0724373,-2.7843924
Canada,2,58.368134,-105.307236
Chile,3,-35.786228,-71.674675
China,1,36.5530853,103.9754333
Columbia,2,3.9976072,-73.2779694
The Netherlands,1,52.3422585,5.5281572
Germany,1,51.2024651,10.3822031
Greece,1,38.3011589,23.7409744
Hong Kong,1,22.3361568,114.1869659
India,1,23.4060116,79.4580917
Ireland,1,53.1827278,-8.1961021
Italy,1,42.7669792,12.4938231
Japan,1,36.2816467,139.0772705
Nigeria,3,9.5595055,8.0778809
Norway,1,61.073738,7.954200
Oman,1,20.5666218,56.1579628
Portugal,1,39.6420097,-8.0094223
Singapore,2,1.3219959,103.8205338
Sweden,1,62.6749725,16.7980595
The UAE,1,24.0491753,54.0930595
The USA,5,39.4432564,-98.9573364
